commit,committed_at_utc,subject,reachable_from_published_main_at_stop,rationale
a52824b5eefc82daa2a9f419393a551295ef0298,2026-09-20 23:50:46,Specify the complete Decision API product and delivery plan,True,Translate the requested product parity into a public spec and issue-sized delivery plan. Specification work did not implement the backlog.
db22fead007a3bffd43842bdd7639b270da4b732,2026-09-21 02:13:16,Define Coder as the flagship Decision Router consumer,True,"Describe how Coder should exercise the Decision Router and identify missing dependencies. This set the target, not release evidence."
6fdb018f111a493d30f0b5c7a548c95b883438c8,2026-09-21 03:17:04,Add a tested runbook for supervised Coder delegation to Devin,False,"Make local and hosted delegation reproducible, including credentials, relay setup, smoke tests, and supervision. The second hash updates the integrated version; it is not a second runbook delivered."
f7e55a727e97ff76ff272b9760c680adf5f6fc3e,2026-09-21 03:17:04,Add a tested runbook for supervised Coder delegation to Devin,False,"Make local and hosted delegation reproducible, including credentials, relay setup, smoke tests, and supervision. The second hash updates the integrated version; it is not a second runbook delivered."
1e84bb108a5c03f1d865bbcf12d9572f282e5eb5,2026-09-21 03:22:31,Add a tested runbook for supervised Coder delegation to Devin,True,"Make local and hosted delegation reproducible, including credentials, relay setup, smoke tests, and supervision. The second hash updates the integrated version; it is not a second runbook delivered."
2d0cc96f96304fc6bccbd0523ac1c2c8dad6bf26,2026-09-21 03:44:41,Refill delegation slots as individual tasks finish,True,Remove batch-wide waiting so a free executor slot can take the next task. This improved scheduling mechanics without proving issue completion.
3fd53030d11e53b896a555567cda3d8d78988990,2026-09-21 03:55:17,Add coder-scheduler: the deterministic backlog-scheduling core,False,"Move readiness, dependencies, claims, and resource bounds into deterministic Rust scheduling instead of agent judgment. This was enabling infrastructure."
4c0cb67e0bcbb0ff0020a8b062ec0bfcf955c64f,2026-09-21 03:56:30,Add coder-scheduler: the deterministic backlog-scheduling core,False,"Move readiness, dependencies, claims, and resource bounds into deterministic Rust scheduling instead of agent judgment. This was enabling infrastructure."
b73038c5b59999f214aeae32baeac59a1091a9cf,2026-09-21 03:57:45,Add coder-scheduler: the deterministic backlog-scheduling core,True,"Move readiness, dependencies, claims, and resource bounds into deterministic Rust scheduling instead of agent judgment. This was enabling infrastructure."
5de4418e89d7c2c39ba3316a36951bb4eea61456,2026-09-21 04:04:59,Preserve the bounded program-authority draft for integration review,False,Retain the delegated authorization draft for review and integration. Preservation prevented loss but did not mean acceptance.
64986666f6bf5b35d5794fb065b8b8e6e651b693,2026-09-21 04:05:00,Preserve the bounded tracker-intake draft for integration review,False,Retain the delegated tracker-intake draft for review and integration. It still needed host validation.
aa94cba091b8d090c99ade34bf348c3c292a9eb7,2026-09-21 04:05:00,Preserve the bounded program-authority draft for integration review,True,Retain the delegated authorization draft for review and integration. Preservation prevented loss but did not mean acceptance.
b4cc74a736c0f26242fb2e1fc052244c0d6176ce,2026-09-21 04:05:00,Preserve the bounded tracker-intake draft for integration review,True,Retain the delegated tracker-intake draft for review and integration. It still needed host validation.
a0a71cf1cd3d387602a2299391db9ac7de7ede7d,2026-09-21 04:29:25,Integrate scoped project intake and durable Coder delegation,True,Connect project intake to durable claims and Coder execution so the backlog could drive dispatch. Integration and recovery consumed time before issue delivery.
b5a70217515a33bb91771fea7aaade4b72209551,2026-09-21 04:29:25,Merge remote-tracking branch 'origin/main' into codex/coder-devin-runbook,True,Bring concurrently published main changes into the integration checkout. These merge commits synchronize history; they are not new features.
00a3e990d0a1fbde5e2cf94aeb72ccb4e002933b,2026-09-21 04:35:48,Record project supervisor benchmarks and live queue evidence,True,"Publish scheduler simulations and live queue observations so readiness claims had evidence. These measured the harness, not completed product issues."
ac7d5427af0a051523c1976563d4f9b852fe191a,2026-09-21 04:37:34,Track dynamic program authorization with the shared client,True,Record remaining dynamic authorization work rather than presenting the current shared client as complete. Documentation exposed an outstanding boundary.
a1ec53d2545336948c9ea62ff253d099e3711adb,2026-09-21 04:42:22,Use an open verification issue in the project supervisor example,True,"Correct a stale example to reference an open verification issue. This was a small documentation repair, not new capability."
cb95ea3212caabad50174d53e60ba2969c6115ef,2026-09-21 04:48:51,Add the classification envelope's first bounded slice,False,Establish the bounded classification request envelope and planning rules. This left runtime behavior and other acceptance items outstanding.
94c2187a7960844daa00ff2ced1e4430a21b4b92,2026-09-21 04:49:56,Specify the relay decision-job contract (proposed),False,Define the proposed relay wire contract before implementation. A protocol proposal alone could not complete the transport issue.
dcb62a9703f766dd08183b3fba1dcf4919e26a57,2026-09-21 04:51:26,tenancy: add the backend capability record,False,"Give discovery and admission a typed backend-capability record. This was a foundation, not live capability proof."
839d8cf4086b8376fdc19a10a7eb087d72a2265b,2026-09-21 05:02:52,Bind retained artifacts to bounded host verification checks,True,"Require host checks tied to retained artifacts rather than trusting an executor's success message. Necessary for trustworthy acceptance, but another harness increment."
7867a09e919422bb836ce48f9d969ba553ba5c92,2026-09-21 05:05:58,Add the classification envelope's first bounded slice,True,Establish the bounded classification request envelope and planning rules. This left runtime behavior and other acceptance items outstanding.
86c8efea663d0609dd57ef4379f5b553a3f331a7,2026-09-21 05:05:58,Specify the relay decision-job contract (proposed),True,Define the proposed relay wire contract before implementation. A protocol proposal alone could not complete the transport issue.
baece84cfefed901afcb390c9e36f315a8f7468a,2026-09-21 05:05:58,tenancy: add the backend capability record,True,"Give discovery and admission a typed backend-capability record. This was a foundation, not live capability proof."
81ae574bcedb572530be1a2291d7f2021186d52d,2026-09-21 05:09:02,Require explicit backend limits and bind relay cancellation to its caller,True,Fail closed on undeclared backend limits and prevent cancellation by a different caller. These corrected admission and ownership gaps in the initial slices.
e85b0d1e9ac3260f9380e3da67610e9b1430756b,2026-09-21 05:22:01,Add durable workspace holds and fixed-point monetary accounting,True,Represent workspace spending with durable reservations and fixed-point amounts. Ledger support alone did not finish gateway charging integration.
823006f7d61f6fcbeff1775a0d64048231915e99,2026-09-21 05:23:57,Correct the NIP-44 padding property at power-of-two boundaries,True,Correct an erroneous NIP-44 padding property exposed by the gate at a power-of-two boundary. This was gate-unblocking regression repair outside the active feature.
b1df4df7f9bd84ee6bfdd57a46da66ad489fea4f,2026-09-21 05:33:30,Support explicit credential-free loopback decision clients,True,Allow explicitly configured local loopback decision services without manufacturing bearer credentials. This enabled local dogfooding but not the whole client issue.
5684a2409b2ed8a51d5df4c244254ed8ce9bea12,2026-09-21 05:34:57,Run a pinned suite through the host verification path,False,Connect pinned suite execution to bounded host verification. The first path still needed CLI and Gym adapter integration.
764832e90a2cb2841e99b738983d372667be4663,2026-09-21 05:38:38,nostr: add the pure NIP-CJ decision-job protocol layer,False,Implement pure decision-job protocol encoding and validation for the relay lane. The worker execution path remained separate.
9c9c30f34487072b0dcc1a69f219b36922f36c1b,2026-09-21 05:42:13,Run a pinned suite through the host verification path,True,Connect pinned suite execution to bounded host verification. The first path still needed CLI and Gym adapter integration.
7c75e4f9448d6ea27fdb39b4aa362bdc86b42d34,2026-09-21 05:44:17,Preserve classification draft from timed-out delegation for review,False,Save a timed-out classification draft before inspecting it. The timeout was not successful delivery; later commits repaired and tested the draft.
e60dd2512f70253fa5634b4ddee6ed43094a8b9a,2026-09-21 05:52:33,Expose bounded suite verification through the project CLI,True,Make bounded suite checks accessible through the project CLI. This exposed existing verification work rather than finishing every verification backend.
8dd1a79e95baffb3158cb39411f66ab277bfefd2,2026-09-21 05:54:07,nostr: add the pure NIP-CJ decision-job protocol layer,True,Implement pure decision-job protocol encoding and validation for the relay lane. The worker execution path remained separate.
417df7cb8e18006a7e575691df4617c4ab05858a,2026-09-21 06:05:25,Bound classification responses and preserve incomplete accounting,False,Cap backend responses and preserve incomplete or unknown usage rather than declaring successful accounting. This repaired the recovered classification draft.
48fe38075147752d1a3025fdf486d84721efa11d,2026-09-21 06:05:30,Bind relay receipts to sealed request and attempt identities,True,Tie relay receipt claims to their request and attempt so unrelated evidence could not be substituted. Protocol integrity did not establish a running decision worker.
1c445e2488cc11f1d94c85c448416bd3aaeeaf67,2026-09-21 06:05:40,Bound classification responses and preserve incomplete accounting,True,Cap backend responses and preserve incomplete or unknown usage rather than declaring successful accounting. This repaired the recovered classification draft.
e1275d9b405bfbd073a2c1614e39443716ba0419,2026-09-21 06:05:40,Preserve classification draft from timed-out delegation for review,True,Save a timed-out classification draft before inspecting it. The timeout was not successful delivery; later commits repaired and tested the draft.
17f1ea84951979841500ebc9a3abd2a1fd4bb0cc,2026-09-21 06:16:36,Verify classification outcomes through the native answer contract,True,Check classification output against native answer semantics instead of accepting arbitrary backend JSON. This strengthened the facade's contract evidence.
9dd4ddab67485df8db75fdacc5c52f1d19cd414b,2026-09-21 06:16:50,Merge remote-tracking branch 'origin/main' into codex/coder-devin-runbook,True,Bring concurrently published main changes into the integration checkout. These merge commits synchronize history; they are not new features.
07d7c1c31ba2996f6cbee43813b84d434c3a3ad8,2026-09-21 06:29:33,Share explicit decision profiles across Coder callers,True,Reuse explicit decision profiles across headless and terminal callers. It reduced divergent client behavior but left broader decision-site adoption open.
cf8bb31053ce8b618cc3439f3f061bde066781c7,2026-09-21 06:29:48,Merge remote-tracking branch 'origin/main' into codex/coder-devin-runbook,True,Bring concurrently published main changes into the integration checkout. These merge commits synchronize history; they are not new features.
1b12564be3b226c518f6e8ba58344ad2efb59269,2026-09-21 06:36:46,Name the program scoreability check without implying calibration,True,Remove a calibration implication from a scoreability check's name. A terminology correction avoided claiming evidence the check did not provide.
9d78ef75443d10ba3cb4de3195c83968481eb72c,2026-09-21 06:42:04,Add binary filtering and rubric ranking to classification,False,Add binary Noul filtering and rubric Score ranking to the facade. These completed modes while leaving other classification acceptance items unfinished.
aea9528956192548f6abf9d15fe8a5630b3aa995,2026-09-21 06:43:05,Bound repository context capture and preserve UTF-8 excerpts,True,Bound repository excerpts and keep valid UTF-8 at truncation boundaries. This protected context capture but did not complete end-to-end repository evidence use.
5cc0d33babf8636aa15d88c74cb29541694f4ec9,2026-09-21 06:43:07,Add binary filtering and rubric ranking to classification,True,Add binary Noul filtering and rubric Score ranking to the facade. These completed modes while leaving other classification acceptance items unfinished.
99ef9ac15025046b452d33d19491c58f02000bcf,2026-09-21 06:58:28,Verify classification ranking ties and invalid rubric answers,True,Test ranking ties and malformed rubric answers to pin deterministic selection and refusal behavior. These were meaningful contract regressions for the new modes.
f5f9645da49776f5c6729a279c17b519a22519fd,2026-09-21 06:58:28,Stage referenced backup blobs before archiving concurrent mutations,True,Stage backup blobs before concurrent changes could invalidate archive references. This fixed a failing gate dependency; it was not Decision Router feature progress.
